Node,Id,Label,Cluster
"1211","1211","1211",1
"1212","1212","1212",1
"1211","1211","1211",1
"7415","7415","7415",7
"1211","1211","1211",1
"8996","8996","8996",8
"1211","1211","1211",1
"7919","7919","7919",7
"1211","1211","1211",1
"8743","8743","8743",8
"1211","1211","1211",1
"7491","7491","7491",7
"1211","1211","1211",1
"7722","7722","7722",7
"1211","1211","1211",1
"2652","2652","2652",2
"1211","1211","1211",1
"7169","7169","7169",7
"6259","6259","6259",6
"5982","5982","5982",5
"6259","6259","6259",6
"6252","6252","6252",6
"7721","7721","7721",7
"6841","6841","6841",6
"7721","7721","7721",7
"7849","7849","7849",7
"7721","7721","7721",7
"7723","7723","7723",7
"5831","5831","5831",5
"5834","5834","5834",5
"5831","5831","5831",5
"5832","5832","5832",5
"5831","5831","5831",5
"2682","2682","2682",2
"5831","5831","5831",5
"2235","2235","2235",2
"5922","5922","5922",5
"0224","0224","0224",0
"5922","5922","5922",5
"0230","0230","0230",0
"5922","5922","5922",5
"6812","6812","6812",6
"5139","5139","5139",5
"2876","2876","2876",2
"0574","0574","0574",0
"2714","2714","2714",2
"0574","0574","0574",0
"8972","8972","8972",8
"0574","0574","0574",0
"0575","0575","0575",0
"8822","8822","8822",8
"5332","5332","5332",5
"8822","8822","8822",8
"8441","8441","8441",8
"8822","8822","8822",8
"6641","6641","6641",6
"8822","8822","8822",8
"5827","5827","5827",5
"8822","8822","8822",8
"6821","6821","6821",6
"8822","8822","8822",8
"6115","6115","6115",6
"8822","8822","8822",8
"8432","8432","8432",8
"8822","8822","8822",8
"8424","8424","8424",8
"8822","8822","8822",8
"8744","8744","8744",8
"8822","8822","8822",8
"6612","6612","6612",6
"8822","8822","8822",8
"8421","8421","8421",8
"8822","8822","8822",8
"2879","2879","2879",2
"8822","8822","8822",8
"8973","8973","8973",8
"8922","8922","8922",8
"6428","6428","6428",6
"8922","8922","8922",8
"6553","6553","6553",6
"8922","8922","8922",8
"6424","6424","6424",6
"5914","5914","5914",5
"2879","2879","2879",2
"7441","7441","7441",7
"7234","7234","7234",7
"7441","7441","7441",7
"2632","2632","2632",2
"7441","7441","7441",7
"8442","8442","8442",8
"7441","7441","7441",7
"6419","6419","6419",6
"7441","7441","7441",7
"7442","7442","7442",7
"4314","4314","4314",4
"6118","6118","6118",6
"4314","4314","4314",4
"7239","7239","7239",7
"8941","8941","8941",8
"9410","9410","9410",9
"6597","6597","6597",6
"6749","6749","6749",6
"6597","6597","6597",6
"9310","9310","9310",9
"7267","7267","7267",7
"7493","7493","7493",7
"7267","7267","7267",7
"8748","8748","8748",8
"7267","7267","7267",7
"7234","7234","7234",7
"7267","7267","7267",7
"5989","5989","5989",5
"7267","7267","7267",7
"7452","7452","7452",7
"7267","7267","7267",7
"5836","5836","5836",5
"7267","7267","7267",7
"7263","7263","7263",7
"7267","7267","7267",7
"7436","7436","7436",7
"7267","7267","7267",7
"7741","7741","7741",7
"7267","7267","7267",7
"7429","7429","7429",7
"7267","7267","7267",7
"7439","7439","7439",7
"7267","7267","7267",7
"0611","0611","0611",0
"7267","7267","7267",7
"7213","7213","7213",7
"7267","7267","7267",7
"5163","5163","5163",5
"7267","7267","7267",7
"7269","7269","7269",7
"7267","7267","7267",7
"8429","8429","8429",8
"7267","7267","7267",7
"8744","8744","8744",8
"7267","7267","7267",7
"7368","7368","7368",7
"7267","7267","7267",7
"7284","7284","7284",7
"7267","7267","7267",7
"7423","7423","7423",7
"7267","7267","7267",7
"7416","7416","7416",7
"7267","7267","7267",7
"7412","7412","7412",7
"3352","3352","3352",3
"6545","6545","6545",6
"2320","2320","2320",2
"6744","6744","6744",6
"2320","2320","2320",2
"5542","5542","5542",5
"2320","2320","2320",2
"8731","8731","8731",8
"2320","2320","2320",2
"6733","6733","6733",6
"2320","2320","2320",2
"6731","6731","6731",6
