Source,Target,Weight,type
"5335","0142",0.5652778,Undirected
"5335","7368",0.5794872,Undirected
"2786","0721",0.0166667,Undirected
"4243","5231",0.015873,Undirected
"4243","6746",0.015873,Undirected
"4243","2879",0.0128205,Undirected
"4243","1124",0.0138889,Undirected
"2518","6413",0.6968811,Undirected
"2518","6553",0.0185185,Undirected
"2518","6411",0.649646,Undirected
"2518","2517",0.66939,Undirected
"6852","2731",0.0128205,Undirected
"6852","6521",0.0092593,Undirected
"3231","8973",0.0114943,Undirected
"2471","5323",0.015873,Undirected
"2471","5912",0.015873,Undirected
"2471","6613",0.0151515,Undirected
"2471","2666",0.0151515,Undirected
"2471","2482",0.5984849,Undirected
"7428","7429",0.6138306,Undirected
"7428","7493",0.6596737,Undirected
"7428","7849",0.6063492,Undirected
"7428","7492",0.551282,Undirected
"7428","7783",0.6419969,Undirected
"7428","9410",0.0144928,Undirected
"7428","6579",0.5557498,Undirected
"7428","6637",0.7253302,Undirected
"7428","7413",0.5683761,Undirected
"8211","8219",0.7164751,Undirected
"8211","6359",0.5628626,Undirected
"8211","6421",0.5513684,Undirected
"8211","6973",0.5862616,Undirected
"8211","6911",0.5636563,Undirected
"8211","6351",0.5632458,Undirected
"5842","0542",0.0128205,Undirected
"3342","7223",0.0098039,Undirected
"3342","3341",0.5973856,Undirected
"3342","3344",0.6202926,Undirected
"3342","3343",0.5724331,Undirected
"3342","2654",0.0095238,Undirected
"3342","2613",0.0098039,Undirected
"6354","4233",0.0119048,Undirected
"0141","7112",0.0175439,Undirected
"0141","6770",0.0133333,Undirected
"7373","7493",0.6643357,Undirected
"7373","5821",0.5662393,Undirected
"7373","7369",0.6340327,Undirected
"7373","7281",0.5734266,Undirected
"7373","7234",0.5790598,Undirected
"7373","6418",0.5940171,Undirected
"7373","7368",0.5885781,Undirected
"7373","0372",0.0128205,Undirected
"7373","7849",0.5825397,Undirected
"7373","7442",0.5641026,Undirected
"7373","0360",0.0064103,Undirected
"7373","7259",0.6037296,Undirected
"6289","7919",0.5872821,Undirected
"6289","6210",0.7224945,Undirected
"6289","3345",0.0175439,Undirected
"6289","7849",0.6474673,Undirected
"6760","7919",0.5513889,Undirected
"6760","7372",0.5604396,Undirected
"6760","7129",0.5733822,Undirected
"6760","6745",0.5518519,Undirected
"6760","1212",0.0133333,Undirected
"6673","6546",0.0138889,Undirected
"6673","6633",0.0138889,Undirected
"2733","2235",0.0196078,Undirected
"6512","2686",0.553391,Undirected
"6512","8821",0.0151515,Undirected
"2238","7521",0.0123457,Undirected
"7638","8811",0.7350168,Undirected
"7638","8982",0.5555556,Undirected
"7638","0583",0.009009,Undirected
"7638","7628",0.7090909,Undirected
"7638","7631",0.6571429,Undirected
"7638","7642",0.6602564,Undirected
"7638","0240",0.0151515,Undirected
"7638","8482",0.6186869,Undirected
"7638","7763",0.5670034,Undirected
"7638","7512",0.626936,Undirected
